id,Loan_amount,Purpose_of_loan,Annual_income,FICO_score,Mortgages,Employment_status,Debt_to_income_ratio,Terms,House_ownership,Loan_status
1,25000,Debt consolidation,60000,680,1,Employed,0.35,48,Rent,ND
2,15000,Home improvement,45000,620,0,Employed,0.4,36,Mortgage,ND
3,10000,Medical expenses,30000,590,0,Unemployed,0.25,24,Own,D
4,20000,Vacation,80000,720,2,Employed,0.3,60,Rent,ND
5,18000,Debt consolidation,50000,670,1,Self-employed,0.35,48,Mortgage,ND
6,30000,Education,70000,700,0,Employed,0.2,36,Own,ND
7,12000,Home improvement,40000,640,0,Employed,0.45,36,Mortgage,ND
8,25000,Medical expenses,60000,680,1,Employed,0.35,48,Own,ND
9,15000,Vacation,45000,620,0,Employed,0.4,36,Rent,ND
10,10000,Debt consolidation,30000,590,0,Unemployed,0.25,24,Mortgage,D
11,20000,Education,80000,720,2,Employed,0.3,60,Own,ND
12,18000,Home improvement,50000,670,1,Self-employed,0.35,48,Rent,ND
13,30000,Medical expenses,70000,700,0,Employed,0.2,36,Mortgage,ND
14,12000,Vacation,40000,640,0,Employed,0.45,36,Own,ND
15,25000,Debt consolidation,60000,680,1,Employed,0.35,48,Rent,ND
16,15000,Home improvement,45000,620,0,Employed,0.4,36,Mortgage,ND
17,10000,Medical expenses,30000,590,0,Unemployed,0.25,24,Own,D
18,20000,Vacation,80000,720,2,Employed,0.3,60,Mortgage,ND
19,18000,Debt consolidation,50000,670,1,Self-employed,0.35,48,Own,ND
20,30000,Education,70000,700,0,Employed,0.2,36,Rent,ND
21,12000,Home improvement,40000,640,0,Employed,0.45,36,Mortgage,ND
22,25000,Medical expenses,60000,680,1,Employed,0.35,48,Own,ND
23,15000,Vacation,45000,620,0,Employed,0.4,36,Rent,ND
24,10000,Debt consolidation,30000,590,0,Unemployed,0.25,24,Mortgage,D
25,20000,Education,80000,720,2,Employed,0.3,60,Own,ND
26,18000,Home improvement,50000,670,1,Self-employed,0.35,48,Rent,ND
27,30000,Medical expenses,70000,700,0,Employed,0.2,36,Mortgage,ND
28,12000,Vacation,40000,640,0,Employed,0.45,36,Own,ND
29,25000,Debt consolidation,60000,680,1,Employed,0.35,48,Rent,ND
30,15000,Home improvement,45000,620,0,Employed,0.4,36,Mortgage,ND
31,10000,Medical expenses,30000,590,0,Unemployed,0.25,24,Own,D
32,20000,Vacation,80000,720,2,Employed,0.3,60,Rent,ND
33,18000,Debt consolidation,50000,670,1,Self-employed,0.35,48,Own,ND
34,30000,Education,70000,700,0,Employed,0.2,36,Own,ND
